"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1","res_2","dem_1_sim","res_1_sim","res_2_sim","dem_2_sim","dem_3_sim","cwb_scale"
430,NA,1,1,NA,NA,13,NA,NA,NA,2,NA,NA
431,NA,NA,1,2,1,13,58,NA,13,NA,NA,NA
432,2,1,1,1,NA,NA,58,NA,6,NA,2,217
433,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA
434,NA,NA,NA,1,1,NA,56,2,NA,3,2,NA
435,1,1,NA,1,2,11,NA,2,NA,2,2,218
436,NA,NA,1,NA,NA,15,5,2,2,1,NA,NA
437,NA,NA,NA,2,2,6,84,3,12,NA,2,NA
438,NA,1,1,NA,1,4,15,2,NA,1,2,NA
439,1,1,1,NA,NA,14,20,1,NA,NA,NA,220
440,NA,1,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
441,NA,1,NA,NA,2,15,NA,1,NA,1,2,NA
442,NA,NA,1,1,NA,NA,50,1,NA,NA,2,NA
443,NA,NA,1,1,1,3,NA,NA,NA,1,2,NA
444,NA,2,NA,NA,NA,NA,NA,2,2,3,2,NA
445,NA,2,NA,NA,NA,NA,NA,1,15,NA,2,NA
446,1,NA,1,NA,NA,2,71,2,10,1,NA,223.5
447,2,1,NA,NA,2,NA,NA,NA,NA,4,NA,224.5
448,NA,1,NA,NA,NA,10,NA,NA,13,2,1,NA
449,NA,NA,NA,NA,1,15,83,2,NA,NA,NA,NA
450,NA,1,NA,1,NA,14,55,NA,NA,NA,2,NA
451,NA,NA,NA,NA,NA,NA,5,3,NA,NA,2,NA
452,NA,1,1,NA,2,12,NA,NA,2,NA,2,NA
453,NA,NA,NA,NA,2,NA,NA,1,NA,1,2,NA
454,NA,NA,NA,2,1,NA,15,1,1,2,NA,NA
455,NA,1,NA,1,2,15,82,1,13,NA,NA,NA
456,1,1,1,NA,NA,12,NA,1,10,3,NA,228.5
457,NA,NA,1,NA,1,8,49,1,8,3,2,NA
458,2,1,NA,NA,NA,NA,7,2,4,NA,2,230
459,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA
460,NA,1,1,NA,2,6,NA,NA,NA,NA,NA,NA
461,NA,1,NA,NA,NA,11,85,2,10,3,2,NA
462,NA,1,1,NA,2,2,NA,2,NA,NA,2,NA
463,NA,1,NA,NA,NA,5,NA,1,12,1,NA,NA
464,2,NA,NA,NA,1,NA,80,1,16,1,2,233
465,NA,NA,1,1,2,NA,38,NA,4,NA,NA,NA
466,NA,1,NA,2,1,NA,31,2,NA,4,NA,NA
467,2,NA,1,NA,NA,NA,89,NA,4,NA,NA,234.5
468,2,NA,NA,NA,2,13,22,3,6,1,2,235
469,NA,1,NA,1,NA,10,31,NA,6,NA,2,NA
470,1,1,NA,NA,2,6,0,NA,11,NA,NA,235.5
471,NA,NA,NA,NA,NA,15,80,2,13,1,2,NA
472,1,NA,NA,NA,NA,12,NA,3,4,1,NA,236.5
473,NA,NA,1,2,NA,9,NA,NA,15,2,2,NA
474,NA,NA,1,NA,NA,NA,45,2,NA,NA,NA,NA
475,NA,NA,NA,NA,2,7,15,1,1,NA,NA,NA
476,NA,1,1,NA,NA,NA,66,3,2,3,NA,NA
477,NA,1,NA,NA,NA,11,30,1,NA,2,NA,NA
478,2,1,NA,NA,2,15,22,2,9,4,NA,240
479,NA,NA,NA,NA,1,NA,19,NA,NA,1,NA,NA
480,NA,NA,1,2,1,4,NA,1,1,1,2,NA
481,NA,1,1,NA,2,3,NA,3,NA,1,2,NA
482,NA,NA,NA,2,NA,6,NA,2,8,1,NA,NA
483,NA,1,NA,NA,3,2,0,NA,11,2,NA,NA
484,NA,1,NA,NA,NA,11,NA,1,15,1,NA,NA
485,NA,1,1,NA,NA,9,NA,1,NA,1,NA,NA
486,NA,NA,NA,NA,1,15,NA,NA,9,NA,2,NA
487,NA,NA,NA,1,1,11,NA,NA,NA,NA,2,NA
488,NA,NA,1,NA,2,NA,23,1,13,1,2,NA
489,NA,1,NA,2,2,NA,NA,3,NA,1,2,NA
490,1,2,NA,1,2,2,NA,NA,NA,1,NA,245.5
491,NA,1,1,NA,NA,2,NA,1,NA,1,NA,NA
492,NA,1,1,2,NA,NA,63,3,1,NA,2,NA
493,NA,1,NA,NA,1,5,89,2,NA,1,2,NA
494,NA,NA,NA,NA,NA,5,NA,NA,4,1,NA,NA
495,NA,NA,NA,NA,NA,5,NA,2,13,1,2,NA
496,NA,1,NA,1,NA,NA,55,NA,14,1,1,NA
497,NA,1,NA,NA,3,1,29,NA,4,1,2,NA
498,2,1,1,NA,NA,16,NA,1,6,NA,NA,250
499,NA,1,NA,2,NA,9,79,3,1,NA,2,NA
500,NA,NA,NA,1,NA,NA,NA,2,8,NA,NA,NA
501,1,1,NA,1,NA,15,55,NA,16,NA,2,251
502,NA,NA,NA,NA,NA,14,NA,1,13,1,NA,NA
503,NA,1,1,NA,2,3,61,2,2,1,2,NA
504,NA,1,1,1,2,NA,NA,3,15,2,2,NA
505,NA,1,NA,1,1,NA,NA,NA,10,1,2,NA
506,NA,NA,NA,NA,NA,10,NA,3,NA,1,NA,NA
507,2,1,1,NA,1,11,43,NA,8,NA,NA,254.5
508,NA,1,1,NA,2,11,72,2,NA,1,NA,NA
509,NA,1,1,2,2,5,17,3,NA,1,NA,NA
510,NA,1,NA,2,NA,NA,52,2,NA,NA,NA,NA
511,NA,NA,1,NA,1,NA,31,NA,2,NA,2,NA
512,NA,1,NA,NA,2,NA,61,NA,NA,1,NA,NA
513,1,NA,NA,NA,2,NA,39,3,16,3,1,257
514,NA,2,NA,NA,2,4,NA,2,NA,1,2,NA
515,NA,NA,NA,NA,NA,NA,60,NA,5,1,NA,NA
516,NA,1,1,1,NA,8,16,NA,NA,1,NA,NA
517,2,1,NA,NA,2,NA,15,NA,NA,NA,NA,259.5
518,NA,NA,NA,2,1,6,49,NA,NA,NA,2,NA
519,2,NA,1,NA,2,6,62,3,NA,1,2,260.5
520,NA,NA,1,2,NA,3,NA,1,2,1,NA,NA
521,1,1,NA,NA,NA,4,78,3,NA,1,2,261
522,NA,1,NA,2,2,6,NA,2,6,1,NA,NA
523,NA,1,NA,1,3,14,1,1,15,1,NA,NA
524,1,NA,NA,NA,NA,16,48,1,5,1,2,262.5
525,NA,1,NA,1,3,3,23,2,NA,2,NA,NA
526,2,NA,NA,NA,NA,NA,NA,3,NA,2,NA,264
527,NA,1,NA,NA,1,5,NA,3,NA,3,2,NA
528,NA,1,NA,NA,2,6,NA,3,2,3,NA,NA
529,NA,NA,NA,1,NA,NA,NA,2,8,1,NA,NA
530,2,NA,NA,NA,3,NA,35,1,NA,NA,2,266
531,NA,1,NA,NA,NA,NA,42,2,NA,NA,2,NA
532,NA,NA,NA,NA,NA,NA,1,1,12,1,NA,NA
533,NA,1,1,NA,1,NA,NA,1,14,1,2,NA
534,NA,1,NA,NA,NA,6,NA,NA,NA,1,2,NA
535,1,1,1,1,NA,NA,6,NA,13,NA,2,268
536,2,NA,NA,NA,1,6,NA,2,6,1,1,269
537,NA,NA,1,NA,2,9,NA,2,3,1,2,NA
538,NA,NA,1,NA,NA,4,53,2,7,3,NA,NA
539,2,1,1,2,2,NA,25,NA,7,1,NA,270.5
540,2,1,1,2,NA,NA,23,NA,11,NA,2,271
541,NA,NA,1,NA,2,11,NA,NA,14,NA,NA,NA
542,2,NA,1,NA,1,NA,NA,NA,NA,2,NA,272
543,NA,1,NA,NA,3,13,83,2,NA,1,NA,NA
544,2,1,1,NA,2,NA,NA,NA,8,1,NA,273
545,2,NA,NA,NA,1,NA,24,NA,NA,1,2,273.5
546,NA,1,2,NA,1,1,41,2,10,1,NA,NA
547,1,1,1,NA,3,8,89,NA,NA,NA,2,274
548,NA,NA,NA,NA,1,4,69,3,8,1,2,NA
549,1,NA,1,NA,1,16,NA,2,3,NA,NA,275
550,NA,1,NA,NA,3,11,61,NA,14,1,NA,NA
551,NA,NA,NA,NA,2,NA,17,1,NA,NA,2,NA
552,2,1,NA,2,1,16,NA,NA,11,1,2,277
553,2,1,NA,2,2,13,9,NA,10,1,2,277.5
554,2,NA,NA,NA,NA,NA,NA,2,11,NA,2,278
555,NA,1,NA,1,2,8,67,3,NA,1,1,NA
556,2,1,1,NA,2,4,NA,NA,8,1,2,279
557,NA,1,NA,NA,NA,NA,38,NA,NA,1,2,NA
558,NA,NA,NA,NA,NA,15,NA,2,16,NA,2,NA
559,2,1,NA,1,NA,9,70,1,NA,1,2,280.5
560,NA,1,2,NA,NA,12,6,2,4,NA,NA,NA
561,NA,NA,1,NA,2,NA,69,2,15,1,NA,NA
562,NA,1,NA,1,NA,NA,61,NA,2,1,2,NA
563,NA,1,NA,NA,NA,13,12,NA,NA,1,NA,NA
564,NA,1,NA,2,3,NA,60,NA,NA,1,NA,NA
565,NA,NA,NA,NA,NA,5,44,1,NA,1,2,NA
566,2,NA,NA,1,1,7,NA,1,NA,NA,NA,284
567,NA,NA,1,NA,2,NA,43,1,7,1,NA,NA
568,NA,1,1,NA,NA,6,72,NA,NA,1,2,NA
569,NA,NA,NA,NA,NA,11,45,3,NA,NA,NA,NA
570,2,1,NA,2,3,9,NA,3,1,NA,NA,286
571,2,1,1,2,NA,NA,81,3,14,1,2,286.5
572,NA,NA,NA,1,NA,NA,NA,2,3,1,2,NA
573,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA
574,1,1,NA,1,NA,NA,NA,3,NA,1,NA,287.5
575,2,1,1,NA,NA,NA,39,1,10,NA,2,288.5
576,NA,1,1,NA,2,2,NA,3,16,NA,2,NA
577,NA,NA,NA,2,NA,13,68,NA,8,1,2,NA
578,NA,NA,NA,2,NA,NA,NA,3,13,NA,NA,NA
579,1,NA,NA,NA,2,1,7,2,NA,NA,2,290
580,NA,NA,NA,NA,3,NA,NA,NA,14,NA,NA,NA
581,NA,1,NA,NA,2,NA,17,2,16,1,2,NA
582,NA,1,NA,2,NA,14,29,2,NA,NA,2,NA
583,NA,NA,NA,NA,2,NA,57,2,7,1,NA,NA
584,NA,NA,1,NA,2,10,72,2,16,NA,NA,NA
585,2,NA,NA,NA,3,16,NA,2,11,2,NA,293.5
586,1,NA,NA,1,1,NA,30,2,NA,1,2,293.5
587,NA,1,NA,NA,1,NA,NA,NA,11,1,2,NA
588,NA,1,NA,NA,NA,11,13,1,6,1,2,NA
589,NA,NA,NA,NA,2,7,23,1,NA,NA,2,NA
590,2,1,1,NA,2,NA,81,2,NA,4,2,296
591,NA,1,1,NA,2,16,NA,NA,3,1,NA,NA
592,2,NA,NA,NA,2,11,81,2,6,1,2,297
593,2,NA,NA,1,NA,NA,36,NA,9,NA,NA,297.5
594,NA,NA,NA,1,1,3,68,1,8,1,2,NA
595,NA,NA,1,2,NA,1,19,2,NA,1,NA,NA
596,NA,1,NA,NA,NA,NA,39,3,NA,1,NA,NA
597,NA,NA,NA,2,NA,12,83,NA,NA,1,NA,NA
598,NA,1,NA,NA,2,10,76,2,NA,1,2,NA
599,NA,NA,NA,NA,2,NA,65,NA,10,NA,2,NA
600,NA,NA,NA,1,2,12,33,NA,16,NA,2,NA
601,2,NA,1,1,2,7,17,1,9,NA,2,301.5
602,NA,2,NA,2,2,10,NA,NA,NA,1,2,NA
603,2,2,NA,1,3,7,63,NA,NA,3,2,302.5
604,1,1,NA,NA,NA,NA,32,2,7,1,2,302.5
605,NA,1,1,NA,3,6,57,1,NA,NA,NA,NA
606,NA,1,NA,NA,2,NA,NA,NA,5,1,2,NA
607,NA,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA
608,NA,NA,NA,1,2,5,NA,2,14,3,NA,NA
609,2,1,NA,NA,1,16,NA,2,NA,3,2,305.5
610,NA,2,NA,NA,NA,NA,51,1,NA,NA,2,NA
611,NA,NA,NA,NA,2,6,66,1,NA,1,NA,NA
612,NA,2,NA,NA,1,12,42,NA,NA,NA,NA,NA
613,NA,1,1,NA,NA,1,17,2,13,1,NA,NA
614,NA,1,NA,NA,2,NA,NA,2,10,1,2,NA
615,NA,1,1,2,1,8,40,3,10,1,NA,NA
616,NA,1,NA,NA,NA,NA,NA,2,8,1,NA,NA
617,NA,1,NA,NA,NA,NA,9,NA,NA,1,2,NA
618,NA,1,1,1,2,NA,NA,3,14,2,2,NA
619,NA,NA,NA,NA,NA,13,NA,1,9,1,NA,NA
620,1,1,1,2,NA,11,NA,NA,3,NA,2,310.5
621,2,1,NA,NA,1,2,81,2,NA,1,2,311.5
622,NA,1,NA,NA,1,14,33,1,12,NA,2,NA
623,2,1,NA,1,NA,10,9,2,NA,1,NA,312.5
624,NA,NA,NA,NA,NA,11,NA,2,NA,1,2,NA
625,NA,2,NA,NA,1,NA,NA,NA,9,NA,NA,NA
626,NA,1,1,NA,1,8,87,1,NA,NA,NA,NA
627,NA,1,NA,NA,2,3,80,2,1,1,2,NA
628,2,1,NA,NA,1,5,50,2,4,NA,2,315
629,NA,1,1,1,2,4,40,NA,NA,1,2,NA
630,NA,NA,NA,NA,1,13,NA,2,NA,1,NA,NA
631,1,1,NA,NA,NA,16,45,1,6,1,2,316
632,NA,2,2,NA,NA,15,NA,2,NA,1,NA,NA
633,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
634,NA,1,NA,1,3,NA,62,2,2,1,2,NA
635,NA,NA,NA,1,1,10,10,2,2,1,2,NA
636,NA,1,NA,1,3,14,25,NA,2,1,2,NA
637,NA,NA,NA,2,2,11,56,1,NA,NA,NA,NA
638,NA,NA,NA,1,NA,NA,21,3,8,1,2,NA
639,2,1,1,1,1,14,58,NA,10,NA,2,320.5
640,NA,NA,NA,1,1,NA,NA,2,1,NA,NA,NA
641,NA,NA,NA,1,1,15,NA,2,NA,1,1,NA
642,1,1,1,NA,NA,NA,NA,3,5,NA,2,321.5
643,NA,1,1,2,1,5,81,2,5,1,NA,NA
644,2,NA,NA,2,1,13,NA,1,NA,NA,2,323
645,NA,1,1,NA,NA,NA,31,1,13,1,1,NA
646,NA,2,1,NA,NA,1,NA,2,NA,1,NA,NA
647,NA,1,1,NA,NA,15,13,1,NA,NA,2,NA
648,1,NA,1,NA,1,NA,NA,2,7,1,2,324.5
649,NA,1,NA,1,2,14,56,2,13,1,NA,NA
650,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA
651,2,NA,1,NA,NA,2,NA,NA,14,NA,2,326.5
652,2,1,NA,NA,2,11,NA,NA,6,2,2,327
653,1,1,NA,2,NA,NA,NA,2,10,1,2,327
654,NA,1,1,NA,1,NA,NA,NA,2,NA,1,NA
655,NA,NA,1,NA,NA,9,41,NA,9,NA,NA,NA
656,2,1,NA,NA,2,4,32,3,14,1,NA,329
657,2,1,NA,1,1,NA,1,1,5,1,2,329.5
658,2,NA,NA,NA,NA,7,41,3,NA,1,NA,330
659,NA,1,NA,2,NA,NA,71,NA,4,1,NA,NA
660,NA,NA,2,2,NA,11,15,2,15,3,NA,NA
661,NA,NA,1,NA,NA,14,55,NA,1,1,NA,NA
662,NA,1,NA,NA,1,9,6,1,14,3,2,NA
663,2,NA,NA,1,NA,11,NA,NA,6,NA,NA,332.5
664,1,1,1,NA,NA,4,NA,2,NA,1,2,332.5
665,2,1,1,NA,NA,6,NA,3,3,1,2,333.5
666,NA,1,NA,2,NA,15,14,2,2,1,2,NA
667,NA,1,NA,2,1,11,10,NA,14,2,2,NA
668,NA,1,NA,NA,2,7,56,2,10,NA,NA,NA
669,NA,1,1,NA,1,4,NA,NA,NA,NA,2,NA
670,NA,1,NA,1,3,13,63,3,NA,1,2,NA
671,NA,1,1,1,1,10,NA,NA,16,NA,NA,NA
672,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA
673,NA,NA,1,2,NA,NA,NA,NA,13,1,2,NA
674,NA,1,NA,1,1,9,NA,2,6,3,2,NA
675,2,NA,NA,NA,NA,3,NA,2,9,1,NA,338.5
676,NA,1,1,NA,NA,6,NA,NA,10,NA,2,NA
677,NA,1,1,2,1,NA,NA,NA,15,2,2,NA
678,2,1,NA,NA,2,NA,NA,NA,5,1,NA,340
679,2,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,340.5
680,2,1,NA,1,1,NA,75,1,1,NA,2,341
681,NA,1,1,2,NA,NA,NA,NA,16,1,NA,NA
682,1,NA,NA,2,3,NA,NA,2,NA,NA,NA,341.5
683,NA,1,2,NA,1,NA,73,1,NA,1,2,NA
684,NA,1,1,2,1,3,45,NA,3,1,NA,NA
685,NA,1,NA,NA,NA,7,43,NA,NA,3,2,NA
686,NA,1,1,2,3,NA,76,2,13,NA,NA,NA
687,NA,1,1,NA,2,NA,NA,2,9,1,NA,NA
688,NA,2,NA,NA,3,NA,33,NA,4,NA,2,NA
689,NA,1,1,1,1,NA,NA,NA,NA,NA,2,NA
690,1,1,1,NA,2,NA,68,NA,8,NA,2,345.5
691,2,1,1,2,1,NA,26,NA,13,1,NA,346.5
692,NA,1,1,1,3,8,8,NA,6,1,NA,NA
693,NA,1,1,2,2,4,13,1,9,1,2,NA
694,NA,1,NA,NA,NA,2,NA,NA,12,1,NA,NA
695,2,1,NA,2,2,9,55,2,9,1,2,348.5
696,1,1,NA,1,3,NA,NA,2,4,NA,2,348.5
697,NA,1,NA,1,3,10,NA,3,NA,NA,NA,NA
698,2,1,NA,NA,2,10,NA,NA,14,NA,2,350
699,NA,1,NA,NA,2,1,48,1,NA,NA,NA,NA
700,NA,1,NA,NA,NA,3,56,2,8,2,2,NA
701,NA,1,NA,1,NA,3,75,NA,NA,NA,2,NA
702,NA,NA,NA,1,NA,6,31,2,NA,NA,NA,NA
703,NA,1,1,NA,2,NA,52,1,16,1,2,NA
704,NA,1,1,2,2,11,75,3,NA,NA,2,NA
705,2,NA,NA,2,1,NA,NA,2,16,3,2,353.5
706,NA,2,NA,NA,NA,11,NA,NA,10,1,2,NA
707,NA,1,1,1,NA,NA,4,NA,14,1,NA,NA
708,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA
709,1,1,NA,NA,2,NA,34,NA,12,1,NA,355
710,2,1,1,1,2,NA,68,1,8,4,2,356
711,NA,NA,NA,NA,3,NA,NA,NA,14,NA,2,NA
712,NA,1,NA,NA,NA,5,NA,NA,2,1,2,NA
713,NA,1,NA,NA,2,NA,NA,NA,13,NA,NA,NA
714,NA,1,NA,NA,1,NA,NA,1,4,NA,2,NA
715,2,1,1,2,2,9,5,NA,6,NA,2,358.5
716,NA,1,1,NA,2,2,63,NA,NA,3,2,NA
717,1,NA,1,2,2,14,NA,NA,NA,NA,2,359
718,2,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,360
719,NA,1,1,NA,2,NA,2,2,NA,1,NA,NA
720,1,1,1,NA,3,NA,NA,1,12,1,NA,360.5
721,1,1,NA,NA,2,8,86,NA,NA,NA,2,361
722,NA,1,1,NA,2,NA,0,NA,NA,4,NA,NA
723,1,NA,NA,NA,1,NA,57,2,6,1,2,362
724,NA,1,1,NA,1,6,60,NA,6,1,NA,NA
725,NA,1,1,NA,2,8,NA,3,11,NA,2,NA
726,NA,NA,NA,1,1,4,NA,2,10,NA,2,NA
727,NA,NA,NA,1,2,NA,NA,2,3,1,2,NA
728,NA,1,1,2,2,15,56,NA,NA,4,NA,NA
729,1,1,NA,NA,2,10,33,NA,2,NA,NA,365
730,NA,NA,1,NA,NA,NA,37,NA,NA,1,2,NA
731,NA,NA,1,NA,1,NA,59,2,2,NA,2,NA
732,NA,NA,NA,NA,3,NA,51,NA,NA,2,2,NA
733,2,NA,NA,NA,NA,4,NA,2,5,1,NA,367.5
734,NA,1,1,NA,NA,NA,26,NA,6,1,2,NA
735,NA,1,NA,1,1,7,NA,NA,NA,NA,2,NA
736,NA,1,1,NA,NA,NA,44,NA,12,1,2,NA
737,NA,NA,1,1,NA,NA,16,2,NA,1,2,NA
738,NA,2,NA,NA,NA,15,NA,NA,14,2,2,NA
739,2,1,NA,NA,1,NA,NA,1,9,NA,NA,370.5
740,1,1,NA,NA,2,6,NA,2,8,1,2,370.5
741,NA,NA,NA,1,NA,15,NA,1,NA,NA,NA,NA
742,NA,NA,NA,2,1,NA,0,NA,16,NA,2,NA
743,NA,1,NA,2,3,NA,NA,1,5,NA,NA,NA
744,2,1,NA,1,NA,NA,NA,1,10,1,2,373
745,NA,1,1,2,3,11,NA,3,13,1,2,NA
746,1,1,1,1,NA,2,20,NA,NA,2,2,373.5
747,NA,NA,NA,NA,2,13,2,3,NA,NA,2,NA
748,2,1,1,1,NA,NA,9,NA,5,1,NA,375
749,NA,NA,NA,NA,2,NA,89,NA,14,1,NA,NA
750,NA,NA,NA,NA,NA,NA,NA,2,8,NA,2,NA
751,NA,1,2,NA,NA,NA,NA,NA,13,1,2,NA
752,1,1,NA,1,1,7,NA,2,NA,NA,2,376.5
753,2,NA,NA,2,1,9,NA,NA,NA,NA,NA,377.5
754,NA,1,NA,NA,3,10,NA,2,NA,NA,2,NA
755,2,1,NA,NA,NA,14,22,3,NA,1,NA,378.5
756,1,NA,NA,NA,NA,12,NA,2,5,1,NA,378.5
757,NA,NA,1,1,NA,4,NA,NA,10,4,NA,NA
758,2,1,1,1,2,15,85,1,1,NA,2,380
759,2,NA,NA,NA,2,6,79,2,14,NA,2,380.5
760,NA,NA,NA,NA,1,2,37,2,NA,NA,1,NA
761,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA
762,NA,1,1,NA,1,9,NA,1,NA,NA,2,NA
763,NA,NA,NA,1,NA,10,78,NA,NA,1,2,NA
764,2,NA,1,NA,2,8,NA,2,4,NA,NA,383
765,NA,1,NA,2,NA,NA,NA,NA,NA,1,2,NA
766,2,1,NA,NA,2,NA,73,1,6,4,2,384
767,NA,NA,NA,NA,2,NA,30,2,13,NA,2,NA
768,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,NA
769,NA,NA,1,2,NA,NA,NA,NA,3,NA,2,NA
770,NA,NA,NA,2,1,4,NA,2,NA,1,NA,NA
771,NA,NA,NA,1,3,NA,56,2,NA,NA,2,NA
772,NA,1,NA,NA,2,5,NA,2,NA,NA,2,NA
773,NA,1,1,NA,NA,6,10,NA,10,1,NA,NA
774,NA,NA,1,NA,NA,14,74,2,2,NA,2,NA
775,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,NA
776,NA,1,1,NA,NA,NA,NA,1,NA,1,2,NA
777,2,1,1,NA,NA,13,NA,2,1,1,NA,389.5
778,2,NA,NA,2,2,NA,87,1,9,1,2,390
779,NA,1,NA,2,2,NA,85,2,NA,1,2,NA
780,NA,1,NA,NA,2,15,44,3,13,NA,2,NA
781,1,NA,1,1,3,15,33,1,NA,NA,NA,391
782,1,NA,NA,NA,2,10,46,2,13,1,NA,391.5
783,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA
784,NA,1,NA,1,2,NA,NA,1,NA,1,NA,NA
785,NA,2,1,NA,NA,1,NA,NA,1,1,2,NA
786,NA,NA,1,NA,2,NA,63,NA,NA,NA,NA,NA
787,1,NA,NA,2,2,6,33,NA,8,1,2,394
788,NA,1,1,2,3,11,88,1,16,1,NA,NA
789,NA,1,NA,2,NA,NA,62,3,16,1,NA,NA
790,NA,NA,NA,1,1,9,65,NA,16,NA,NA,NA
791,NA,1,1,1,3,1,38,NA,NA,1,2,NA
792,NA,NA,1,2,1,5,48,3,16,NA,2,NA
793,1,NA,NA,NA,NA,1,10,2,13,1,2,397
794,NA,1,1,1,3,16,75,NA,3,3,NA,NA
795,NA,NA,1,NA,NA,9,38,2,10,NA,2,NA
796,2,NA,1,NA,3,6,43,NA,10,1,NA,399
797,NA,1,NA,2,2,16,70,NA,12,1,2,NA
798,1,NA,NA,2,1,NA,71,NA,7,NA,NA,399.5
799,NA,1,1,2,2,NA,3,2,NA,1,2,NA
800,1,1,1,NA,NA,15,31,3,12,NA,2,400.5
801,NA,1,NA,2,2,NA,NA,NA,6,1,2,NA
802,2,1,NA,NA,2,5,81,NA,NA,1,2,402
803,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,NA,1,NA,NA,2,1,15,2,7,3,NA,NA
805,2,NA,1,NA,NA,13,NA,2,16,1,2,403.5
806,NA,NA,1,2,2,9,21,NA,8,NA,NA,NA
807,1,NA,NA,NA,NA,15,NA,3,NA,1,2,404
808,NA,1,NA,2,NA,NA,44,3,6,1,NA,NA
809,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA
810,1,NA,NA,NA,3,15,8,1,7,3,2,405.5
811,NA,1,NA,NA,3,NA,NA,NA,12,NA,2,NA
812,2,1,1,2,3,3,NA,NA,10,NA,2,407
813,2,NA,1,NA,2,NA,33,2,NA,1,2,407.5
814,NA,NA,1,NA,2,NA,NA,NA,12,4,2,NA
815,NA,NA,NA,1,NA,3,NA,3,NA,NA,NA,NA
816,NA,1,NA,NA,NA,5,60,NA,NA,1,2,NA
817,NA,NA,1,NA,1,15,68,NA,13,NA,2,NA
818,NA,1,1,NA,2,4,NA,NA,13,NA,2,NA
819,NA,1,1,NA,3,NA,13,1,6,NA,NA,NA
820,NA,NA,1,1,1,NA,46,3,13,1,2,NA
821,NA,NA,NA,NA,2,NA,68,1,13,3,2,NA
822,NA,1,NA,1,2,NA,86,2,NA,NA,2,NA
823,1,NA,1,NA,NA,NA,NA,3,NA,NA,NA,412
824,NA,1,1,1,NA,NA,NA,NA,5,1,2,NA
825,NA,1,1,1,2,1,NA,3,7,NA,2,NA
826,NA,NA,1,1,3,NA,21,2,8,1,2,NA
827,NA,1,NA,1,NA,NA,NA,3,NA,NA,2,NA
828,NA,1,1,1,NA,NA,71,NA,NA,NA,2,NA
829,NA,1,NA,NA,2,5,71,NA,8,3,NA,NA
830,2,1,NA,NA,1,4,34,3,11,NA,2,416
831,1,1,1,NA,2,NA,24,3,9,1,2,416
832,NA,1,NA,NA,2,8,NA,NA,15,NA,2,NA
833,NA,1,NA,2,3,NA,64,2,6,NA,2,NA
834,1,1,NA,NA,3,13,NA,NA,8,1,NA,417.5
835,1,1,1,NA,NA,16,40,NA,2,NA,2,418
836,NA,1,NA,NA,1,7,88,NA,3,4,NA,NA
837,NA,1,1,1,NA,NA,70,NA,15,NA,NA,NA
838,1,NA,1,NA,3,NA,NA,2,NA,NA,2,419.5
839,NA,1,1,2,NA,NA,9,2,3,1,NA,NA
840,2,NA,1,2,NA,1,NA,2,2,NA,2,421
841,NA,1,NA,1,2,15,NA,2,8,NA,2,NA
842,1,1,1,NA,1,14,74,2,2,NA,2,421.5
843,NA,1,NA,1,1,9,53,1,9,1,2,NA
844,2,NA,1,2,2,15,NA,2,16,1,NA,423
845,NA,1,NA,NA,1,10,NA,2,NA,NA,NA,NA
846,NA,NA,1,1,NA,9,89,NA,9,1,2,NA
847,NA,NA,1,2,2,5,12,2,NA,2,2,NA
848,NA,1,1,NA,NA,4,53,3,NA,NA,NA,NA
849,2,NA,NA,NA,NA,NA,61,2,11,1,2,425.5
850,2,1,NA,1,2,1,63,3,NA,1,2,426
851,NA,NA,1,1,3,4,53,NA,5,NA,2,NA
852,NA,1,NA,NA,NA,NA,NA,1,1,NA,2,NA
853,NA,1,1,NA,3,NA,NA,NA,12,1,2,NA
854,NA,1,NA,2,2,NA,66,1,NA,NA,NA,NA
855,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA
856,NA,1,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
857,NA,1,NA,1,NA,9,48,2,NA,1,NA,NA
858,NA,1,1,1,NA,16,18,2,NA,NA,2,NA
859,NA,1,1,2,NA,NA,20,2,NA,1,2,NA
860,1,NA,1,NA,2,8,59,NA,NA,NA,2,430.5
861,NA,1,NA,NA,NA,16,5,3,10,4,2,NA
862,NA,1,1,NA,2,14,49,NA,NA,1,2,NA
